Category,Value
affection,0.0031357792411414
body,0.0114455942301661
children,0.0105048604578237
cold,0.0061147695202257
communication,0.0062715584822828
family,0.0068987143305111
friends,0.0070555032925682
giving,0.0061147695202257
hearing,0.0073690812166823
listen,0.0068987143305111
love,0.0109752273439949
movement,0.0053308247099404
music,0.0059579805581687
negative_emotion,0.0147381624333646
nervousness,0.0051740357478833
night,0.0034493571652555
optimism,0.0058011915961116
pain,0.0072122922546252
party,0.0053308247099404
positive_emotion,0.0081530260269677
shame,0.0075258701787394
speaking,0.0139542176230793
vacation,0.0039197240514267
violence,0.0070555032925682
youth,0.0040765130134838
