Category,Value
achievement,0.0001447178002894356
affection,0.008827785817655571
aggression,0.0033285094066570187
air_travel,0.0002894356005788712
alcohol,0.0004341534008683068
ancient,0.0002894356005788712
anger,0.0013024602026049203
animal,0.0008683068017366136
anonymity,0.0
anticipation,0.0002894356005788712
appearance,0.000723589001447178
art,0.002170767004341534
attractive,0.0005788712011577424
banking,0.0002894356005788712
beach,0.001447178002894356
beauty,0.0005788712011577424
blue_collar_job,0.000723589001447178
body,0.014327062228654125
breaking,0.0026049204052098407
business,0.006946454413892909
car,0.0010130246020260492
celebration,0.002170767004341534
cheerfulness,0.0010130246020260492
childish,0.00593342981186686
children,0.011287988422575976
cleaning,0.002170767004341534
clothing,0.000723589001447178
cold,0.012445730824891461
college,0.0004341534008683068
communication,0.004775687409551374
competing,0.0001447178002894356
computer,0.0004341534008683068
confusion,0.0015918958031837917
contentment,0.012590448625180897
cooking,0.0005788712011577424
crime,0.0001447178002894356
dance,0.0030390738060781476
death,0.0026049204052098407
deception,0.0034732272069464545
disappointment,0.0001447178002894356
disgust,0.000723589001447178
dispute,0.0010130246020260492
divine,0.0024602026049204053
domestic_work,0.0017366136034732273
dominant_heirarchical,0.0
dominant_personality,0.0004341534008683068
driving,0.0018813314037626628
eating,0.000723589001447178
economics,0.0011577424023154848
emotional,0.0030390738060781476
envy,0.0008683068017366136
exasperation,0.0001447178002894356
exercise,0.0004341534008683068
exotic,0.0004341534008683068
fabric,0.000723589001447178
family,0.005788712011577424
farming,0.0001447178002894356
fashion,0.0005788712011577424
fear,0.00361794500723589
feminine,0.004486251808972504
fight,0.0023154848046309695
fire,0.0017366136034732273
friends,0.015050651230101303
fun,0.0033285094066570187
furniture,0.000723589001447178
gain,0.0004341534008683068
giving,0.009117221418234444
government,0.0
hate,0.003907380607814761
healing,0.0023154848046309695
health,0.0001447178002894356
hearing,0.0033285094066570187
help,0.0010130246020260492
heroic,0.0002894356005788712
hiking,0.0
hipster,0.0002894356005788712
home,0.0015918958031837917
horror,0.0024602026049204053
hygiene,0.0013024602026049203
independence,0.0
injury,0.0033285094066570187
internet,0.0001447178002894356
irritability,0.0002894356005788712
journalism,0.0004341534008683068
joy,0.0023154848046309695
kill,0.0026049204052098407
law,0.0
leader,0.0
legend,0.0002894356005788712
leisure,0.0024602026049204053
liquid,0.000723589001447178
listen,0.005209840810419681
love,0.018958031837916063
lust,0.0031837916063675834
magic,0.0005788712011577424
masculine,0.0011577424023154848
medical_emergency,0.0001447178002894356
medieval,0.0
meeting,0.0010130246020260492
messaging,0.0010130246020260492
military,0.0
money,0.0018813314037626628
monster,0.0001447178002894356
morning,0.0011577424023154848
movement,0.006367583212735167
music,0.0062228654124457305
musical,0.002894356005788712
negative_emotion,0.01939218523878437
neglect,0.000723589001447178
negotiate,0.0001447178002894356
nervousness,0.01316931982633864
night,0.0026049204052098407
noise,0.000723589001447178
occupation,0.000723589001447178
ocean,0.0010130246020260492
office,0.0002894356005788712
optimism,0.009551374819102749
order,0.0015918958031837917
pain,0.01939218523878437
party,0.004486251808972504
payment,0.000723589001447178
pet,0.0015918958031837917
philosophy,0.0002894356005788712
phone,0.0031837916063675834
plant,0.0001447178002894356
play,0.0030390738060781476
politeness,0.0004341534008683068
politics,0.0
poor,0.0008683068017366136
positive_emotion,0.015918958031837915
power,0.0004341534008683068
pride,0.0008683068017366136
prison,0.0005788712011577424
programming,0.0002894356005788712
rage,0.0001447178002894356
reading,0.0010130246020260492
real_estate,0.0002894356005788712
religion,0.0001447178002894356
restaurant,0.0002894356005788712
ridicule,0.0002894356005788712
royalty,0.0008683068017366136
rural,0.0001447178002894356
sadness,0.0026049204052098407
sailing,0.0010130246020260492
school,0.0008683068017366136
science,0.0001447178002894356
sexual,0.0010130246020260492
shame,0.015195369030390739
shape_and_size,0.0018813314037626628
ship,0.0002894356005788712
shopping,0.0008683068017366136
sleep,0.002170767004341534
smell,0.0005788712011577424
social_media,0.0008683068017366136
sound,0.0018813314037626628
speaking,0.008827785817655571
sports,0.0018813314037626628
stealing,0.0
strength,0.002170767004341534
suffering,0.008393632416787264
superhero,0.0
surprise,0.0001447178002894356
swearing_terms,0.005788712011577424
swimming,0.0008683068017366136
sympathy,0.001447178002894356
technology,0.0002894356005788712
terrorism,0.0
timidity,0.0005788712011577424
tool,0.0001447178002894356
torment,0.0010130246020260492
tourism,0.0
toy,0.0024602026049204053
traveling,0.00361794500723589
trust,0.004052098408104197
ugliness,0.0
urban,0.0001447178002894356
vacation,0.0015918958031837917
valuable,0.0004341534008683068
vehicle,0.0010130246020260492
violence,0.014905933429811866
war,0.0020260492040520984
warmth,0.0015918958031837917
water,0.0010130246020260492
weakness,0.0020260492040520984
wealthy,0.0002894356005788712
weapon,0.0020260492040520984
weather,0.0024602026049204053
wedding,0.0005788712011577424
white_collar_job,0.000723589001447178
work,0.0010130246020260492
worship,0.0008683068017366136
writing,0.0008683068017366136
youth,0.007959479015918957
zest,0.001447178002894356
